date,ticker,close,final_signal,raw_signal,position,final_score,confidence,confidence_label,sentiment_score,trend_score,momentum_score,volume_score,advanced_indicator_score,risk_score,risk_penalty,risk_level,future_return_5d,strategy_return_5d,message
2024-09-23,AAPL,226.47000122070312,BUY,BUY,1,0.391251,0.614563,Medium,0.165002,1.0,0.7000000000000001,0.0,0.0,0.0,0.04,Low,0.028833835581310252,0.028833835581310252,Final signal is BUY with score 0.391. FinBERT sentiment is close to neutral. Trend structure is bullish. Momentum supports upside. Advanced indicators are mostly neutral. Risk level is Low.
2024-09-24,AAPL,227.3699951171875,BUY,BUY,1,0.410425,0.633166,Medium,0.177698,1.0,0.7000000000000001,0.0,0.16,0.0,0.04,Low,-0.005101765528571445,-0.005101765528571445,Final signal is BUY with score 0.410. FinBERT sentiment is close to neutral. Trend structure is bullish. Momentum supports upside. Advanced indicators are mostly neutral. Risk level is Low.
2024-09-25,AAPL,226.3699951171875,HOLD,HOLD,0,0.288796,0.554004,Medium,0.075183,1.0,0.7000000000000001,0.0,0.0,0.0,0.12,Low,0.0018112102794238805,0.0,Final signal is HOLD with score 0.289. FinBERT sentiment is close to neutral. Trend structure is bullish. Momentum supports upside. Advanced indicators are mostly neutral. Risk level is Low.
2024-09-26,AAPL,227.52000427246094,HOLD,HOLD,0,0.07342,0.464451,Medium,-0.01032,1.0,0.7000000000000001,0.0,0.06,0.0,0.32,Medium,-0.0081311799787952,-0.0,Final signal is HOLD with score 0.073. FinBERT sentiment is close to neutral. Trend structure is bullish. Momentum supports upside. Advanced indicators are mostly neutral. Risk level is Medium.
2024-09-27,AAPL,227.7899932861328,HOLD,HOLD,0,0.069161,0.468497,Medium,-0.027357,1.0,0.7000000000000001,0.0,0.06,0.0,0.32,Medium,-0.0043460655145260985,-0.0,Final signal is HOLD with score 0.069. FinBERT sentiment is close to neutral. Trend structure is bullish. Momentum supports upside. Advanced indicators are mostly neutral. Risk level is Medium.
2024-09-30,AAPL,233.0,HOLD,HOLD,0,0.262431,0.581575,Medium,0.145723,1.0,0.7000000000000001,0.0,-0.24,0.0,0.14,Low,-0.048540762054050446,-0.0,Final signal is HOLD with score 0.262. FinBERT sentiment is close to neutral. Trend structure is bullish. Momentum supports upside. Advanced indicators show caution. Risk level is Low.
2024-10-01,AAPL,226.2100067138672,HOLD,HOLD,0,0.134673,0.476026,Medium,0.018694,1.0,0.5,0.0,0.0,0.0,0.22,Medium,-0.0019451060003848886,-0.0,Final signal is HOLD with score 0.135. FinBERT sentiment is close to neutral. Trend structure is bullish. Momentum supports upside. Advanced indicators are mostly neutral. Risk level is Medium.
2024-10-02,AAPL,226.77999877929688,HOLD,HOLD,0,0.247741,0.529974,Medium,0.070962,1.0,0.5,0.0,0.0,0.0,0.12,Low,0.012170361238611482,0.0,Final signal is HOLD with score 0.248. FinBERT sentiment is close to neutral. Trend structure is bullish. Momentum supports upside. Advanced indicators are mostly neutral. Risk level is Low.
2024-10-03,AAPL,225.6699981689453,HOLD,HOLD,0,0.031558,0.46551,Medium,0.006234,1.0,0.5,0.0,-0.4,0.0,0.28,Medium,0.014933288184212135,0.0,Final signal is HOLD with score 0.032. FinBERT sentiment is close to neutral. Trend structure is bullish. Momentum supports upside. Advanced indicators show caution. Risk level is Medium.
2024-10-04,AAPL,226.8000030517578,HOLD,HOLD,0,0.158337,0.501139,Medium,0.049348,1.0,0.5,0.0,0.16,0.0,0.22,Medium,0.0033068782623819626,0.0,Final signal is HOLD with score 0.158. FinBERT sentiment is close to neutral. Trend structure is bullish. Momentum supports upside. Advanced indicators are mostly neutral. Risk level is Medium.
