feature,importance
SMA_200,0.05258798119550323
Open,0.04706907909827704
ATR,0.0452986791210972
MACD_Bullish,0.044969788165636196
Volatility_20D,0.04233764043544434
ATR_Pct,0.039816848852336266
EMA_12,0.03859750732956092
Return,0.038212912622444146
Low,0.036859262200922796
BB_Position,0.03527977843953648
Annualized_Volatility,0.035101102930835466
Daily_Range,0.03441121454586094
Distance_SMA50,0.03427270890696663
Log_Return,0.03372053344607267
SMA_20,0.03358426380468369
BB_Width,0.03355375503715443
Distance_SMA200,0.03315455280942813
MACD_Hist,0.033047361163251875
SMA_50,0.03216719853400599
Volatility_ZScore,0.030909861433199473
Close,0.029345127388620832
Distance_SMA20,0.028607037617925393
Gap,0.02842812985471861
Adj Close,0.026955728189757545
MACD_Signal,0.026268264211893388
Close_Position,0.02352742124542583
High,0.021506261403428067
RSI,0.02121600894879758
EMA_26,0.021170371494429963
MACD,0.0033369148438240456
Close_Above_SMA200,0.003320459304743123
ticker_AAPL,0.0032549345857480903
Close_Above_SMA20,0.002046596406494911
Close_Above_SMA50,0.0018074986970264138
sentiment_score,0.0015479145112855851
dominant_label_neutral,0.0014000261726239097
ticker_INFY.NS,0.001309275051038886
Volume,0.0
Volume_MA_20,0.0
Volume_Spike,0.0
Volume_ZScore,0.0
neutral_count,0.0
negative_ratio,0.0
negative_count,0.0
average_confidence,0.0
positive_ratio,0.0
positive_count,0.0
news_count,0.0
neutral_ratio,0.0
