feature,importance
Volatility_20D,3419
Distance_SMA20,3415
Annualized_Volatility,3197
BB_Width,3194
MACD_Bullish,3057
ATR_Pct,3019
MACD_Hist,2765
SMA_20,2552
ATR,2245
Distance_SMA200,2157
Volatility_ZScore,2126
BB_Position,1985
Open,1984
Low,1823
Close_Position,1658
EMA_26,1631
High,1555
SMA_200,1472
Daily_Range,1454
Adj Close,1434
Return,1175
Distance_SMA50,1065
EMA_12,967
Close,634
SMA_50,567
Gap,525
Log_Return,509
MACD_Signal,472
RSI,214
ticker_ICICIBANK.NS,174
ticker_JPM,151
dominant_label_neutral,143
ticker_TATASTEEL.NS,115
ticker_ITC.NS,112
ticker_AMD,110
ticker_RELIANCE.NS,91
Close_Above_SMA200,90
ticker_GOOGL,83
sentiment_score,80
ticker_HDFCBANK.NS,80
ticker_BAC,79
ticker_MSFT,73
ticker_INFY.NS,65
ticker_AAPL,60
ticker_AXISBANK.NS,60
ticker_NVDA,43
MACD,31
ticker_LT.NS,27
ticker_AMZN,19
ticker_META,17
Close_Above_SMA50,11
ticker_SBIN.NS,10
Close_Above_SMA20,6
neutral_ratio,0
news_count,0
positive_count,0
positive_ratio,0
Volume_ZScore,0
Volume_Spike,0
Volume_MA_20,0
Volume,0
average_confidence,0
negative_count,0
negative_ratio,0
neutral_count,0
