feature,importance
ATR_Pct,0.04976005080462921
Annualized_Volatility,0.04182636180882367
SMA_50,0.041471049214088014
Distance_SMA20,0.0412824355937096
SMA_20,0.04050805415251574
BB_Width,0.03917383685606112
MACD_Hist,0.03792488588565217
Volatility_20D,0.03732126657345724
MACD_Bullish,0.0360397767438664
SMA_200,0.03510906349248327
ATR,0.034973707403090644
Distance_SMA200,0.034811398528401045
Low,0.03458931854888135
Volatility_ZScore,0.033751387163143756
Return,0.033715604765427905
EMA_12,0.0327638072888003
Distance_SMA50,0.03143884613439985
Open,0.031376226644468624
Daily_Range,0.03045774850748157
Adj Close,0.03040925567466791
BB_Position,0.030031221677251096
Close_Position,0.029623877729416673
Close,0.028340660718734315
Log_Return,0.02832994434639399
Gap,0.028118853944566112
MACD_Signal,0.02742141998426463
EMA_26,0.024765627275145762
High,0.022314992234437208
RSI,0.022184156349734484
Close_Above_SMA200,0.0032702360505712613
MACD,0.0030296314265904965
Close_Above_SMA50,0.002058507406742314
Close_Above_SMA20,0.0018975757770783863
ticker_ICICIBANK.NS,0.0017207380666119795
ticker_RELIANCE.NS,0.0013398836254765213
ticker_JPM,0.0013090512595829965
ticker_AAPL,0.001255825828735529
ticker_AXISBANK.NS,0.0012442115430607394
ticker_TATASTEEL.NS,0.0012194786790270208
dominant_label_neutral,0.0011375992221718662
ticker_GOOGL,0.0010671306174169324
sentiment_score,0.0010156994582222784
ticker_ITC.NS,0.0010061705018310817
ticker_INFY.NS,0.0009802197511448439
ticker_AMD,0.0009443747527231071
ticker_NVDA,0.000890655442088703
ticker_LT.NS,0.0008476966633557838
ticker_HDFCBANK.NS,0.000817341251353001
ticker_MSFT,0.0007992676996253121
ticker_META,0.000701818784581079
ticker_BAC,0.0006762358893814275
ticker_AMZN,0.000497524965343636
ticker_SBIN.NS,0.00043828929329011444
neutral_ratio,0.0
news_count,0.0
positive_count,0.0
positive_ratio,0.0
Volume_ZScore,0.0
Volume_Spike,0.0
Volume_MA_20,0.0
Volume,0.0
average_confidence,0.0
negative_count,0.0
negative_ratio,0.0
neutral_count,0.0
